Official_Ranking,Country,Official_Score,EuroEurovoix_Albania,Eurovoix_Andorra,Eurovoix_Armenia,Eurovoix_Australia,Eurovoix_Austria,Eurovoix_Belgium,Eurovoix_Bosnia,Eurovoix_Bulgaria,Eurovoix_Croatia,Eurovoix_Cyprus,Eurovoix_Denmark,Eurovoix_Estonia,Eurovoix_Finland,Eurovoix_France,Eurovoix_Georgia,Eurovoix_Germany,Eurovoix_Greece,Eurovoix_Hungary,Eurovoix_Iceland,Eurovoix_Ireland,Eurovoix_Israel,Eurovoix_Italy,Eurovoix_Kazakhstan,Eurovoix_Latvia,Eurovoix_Lithuania,Eurovoix_Luxembourg,Eurovoix_Malta,Eurovoix_Moldova,Eurovoix_Moco,Eurovoix_Netherlands,Eurovoix_North_Macedonia,Eurovoix_Norway,Vox_Poland,Eurovoix_Portugal,Vox_Romania,Eurovoix_San_Marino,Eurovoix_Serbia,Eurovoix_Slovenia,Vox_Spain,Eurovoix_Sweden,Eurovoix_Switzerland,Eurovoix_Ukraine,Eurovoix_United_Kingdom
1,Sweden,12,,12,10,12,7,10,12,,12,7,12,,7,12,6,12,10,8,12,10,12,,12,12,10,,12,10,4,12,5,12,12,12,12,4,12,10,5,,7,,8
2,Finland,10,,,5,,4,3,,,,,8,4,,,,10,,,10,,8,,10,,,,4,5,,,,8,,7,,,2,,4,1,,,
3,Israel,8,,,6,1,,,1,5,,,3,,,,,4,,2,,,,2,4,6,,,5,3,8,,,3,,,,,8,5,7,5,,,
4,Italy,7,12,3,8,7,,,8,,10,6,5,,3,,10,,7,1,3,5,3,,6,10,5,10,10,12,12,3,7,,,10,1,,,6,,,,,3
5,Norway,6,,,4,3,1,1,,,5,5,7,,,,,3,,,8,2,10,,8,,,1,8,8,2,,12,,4,2,7,,,2,,8,,,6
6,Ukraine,5,6,,,,12,,6,,,,,7,,,,,,,,,,,,,7,,1,,,,,6,7,,,,,4,,4,,,
7,Belgium,4,1,10,,,,,,,,,,8,,7,8,,,,,4,,5,,3,12,12,,1,,10,,,,,6,7,3,,,7,,,
8,Estonia,3,,,,,,,,,,,,,2,2,,7,2,,,,,,,,,,,,,,3,,,4,,,,,,,6,,
9,Australia,2,,,,,,,,,,,,,,,5,,,,,,,,,1,,,,,,6,,2,,,,1,,,12,,4,7,4
10,Czechia,1,,4,,,,,,,7,8,,5,,,2,5,12,,,,7,,,,,,,,,,,,,,,,5,1,,,,4,
