Official_Ranking,Country,Official_Score,OGAE_Albania,OGAE_Andorra,OGAE_Armenia,OGAE_Australia,OGAE_Austria,OGAE_Azerbaijan,OGAE_Belgium,OGAE_Bulgaria,OGAE_Croatia,OGAE_Cyprus,OGAE_Czech Republic,OGAE_Denmark,OGAE_Estonia,OGAE_Finland,OGAE_France,EC_Germany,OGAE_Germany,OGAE_Greece,OGAE_Hungary,OGAE_Iceland,OGAE_Ireland,OGAE_Israel,OGAE_Italy,OGAE_Latvia,OGAE_Lithuania,OGAE_Luxembourg,OGAE_Malta,OGAE_Netherlands,OGAE_North_Macedonia,OGAE_Norway,OGAE_Poland,OGAE_Portugal,OGAE_World,OGAE_Romania,OGAE_Serbia,OGAE_Slovenia,OGAE_Spain,OGAE_Sweden,OGAE_Switzerland,OGAE_Turkiye,OGAE_Ukraine,OGAE_United_Kingdom
1,Sweden,12,12,8,12,10,10,12,12,7,10,12,12,12,12,7,12,10,7,12,12,10,10,12,8,12,12,1,12,10,8,8,12,7,10,12,10,12,12,NA,10,12,10,12
2,Finland,10,10,12,7,12,12,5,10,12,8,8,6,10,10,NA,8,12,12,8,8,12,12,10,10,3,10,8,7,12,10,12,10,10,12,6,12,6,10,12,8,10,12,10
3,Israel,8,3,1,8,NA,1,2,3,NA,NA,6,4,NA,5,NA,4,NA,NA,5,2,2,1,NA,NA,NA,NA,NA,5,NA,NA,3,NA,3,NA,8,NA,NA,3,3,NA,6,2,3
4,Italy,7,NA,5,NA,NA,6,4,5,NA,6,5,5,6,7,6,6,7,10,6,4,6,4,4,NA,7,8,10,8,3,12,7,4,8,4,10,6,10,6,8,5,3,NA,5
5,Norway,6,5,2,6,6,7,10,7,6,12,7,8,7,1,10,10,6,5,7,10,7,6,8,6,10,6,NA,10,6,6,NA,6,5,6,NA,2,7,5,7,6,8,8,6
6,Ukraine,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Belgium,4,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1
8,Estonia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Australia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
10,Czechia,1,4,NA,1,4,2,3,2,10,2,2,NA,NA,NA,5,3,3,NA,1,5,3,2,2,5,1,NA,NA,NA,4,NA,4,5,NA,1,NA,4,3,NA,2,3,1,NA,4
11,Lithuania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
12,Cyprus,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
13,Croatia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Armenia,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
15,Austria,NA,8,4,10,8,NA,8,6,8,5,3,7,4,3,8,7,5,6,3,7,5,7,3,7,NA,7,7,2,7,NA,6,8,4,8,2,8,2,4,5,7,4,7,8
16,France,NA,6,7,5,7,8,1,8,5,NA,10,10,8,8,12,NA,8,8,10,6,8,8,7,12,8,4,12,4,8,7,10,7,12,7,5,7,8,7,10,12,5,NA,7
17,Spain,NA,2,10,3,NA,NA,7,NA,3,4,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,3,5,4,NA,2,NA,NA,2,4,NA,NA,6,3,3,5,NA,NA,NA,NA,2,6,NA
18,Moldova,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,2,NA,3,1,NA,NA,NA,NA,NA,4,NA,NA,NA,2,1,NA,NA,7,NA,NA,NA,NA,1,NA,4,NA
19,Poland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
20,Switzerland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,NA,NA,2,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
21,Slovenia,NA,1,3,NA,NA,NA,NA,1,4,7,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,NA,2,NA,NA,NA,3,NA,1,NA,2,NA,NA,NA
22,Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
24,Serbia,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,United Kingdom,NA,7,6,4,5,4,6,4,2,3,4,3,5,2,3,NA,4,NA,4,1,4,5,6,3,2,NA,6,6,5,2,5,3,2,5,1,NA,4,8,6,4,7,3,NA
