Official_Ranking,Country,Official_Score,EuroEurovoix_Albania,Eurovoix_Andorra,Eurovoix_Armenia,Eurovoix_Australia,Eurovoix_Austria,Eurovoix_Belgium,Eurovoix_Bosnia,Eurovoix_Bulgaria,Eurovoix_Croatia,Eurovoix_Cyprus,Eurovoix_Denmark,Eurovoix_Estonia,Eurovoix_Finland,Eurovoix_France,Eurovoix_Georgia,Eurovoix_Germany,Eurovoix_Greece,Eurovoix_Hungary,Eurovoix_Iceland,Eurovoix_Ireland,Eurovoix_Israel,Eurovoix_Italy,Eurovoix_Kazakhstan,Eurovoix_Latvia,Eurovoix_Lithuania,Eurovoix_Luxembourg,Eurovoix_Malta,Eurovoix_Moldova,Eurovoix_Monaco,Eurovoix_Netherlands,Eurovoix_North_Macedonia,Eurovoix_Norway,Vox_Poland,Eurovoix_Portugal,Vox_Romania,Eurovoix_San_Marino,Eurovoix_Serbia,Eurovoix_Slovenia,Vox_Spain,Eurovoix_Sweden,Eurovoix_Switzerland,Eurovoix_Ukraine,Eurovoix_United_Kingdom
1,Sweden,12,NA,12,10,12,7,10,12,NA,12,7,12,NA,7,12,6,12,10,8,12,10,12,NA,12,12,10,NA,12,10,4,12,5,12,12,12,12,4,12,10,5,NA,7,NA,8
2,Finland,10,NA,NA,5,NA,4,3,NA,NA,NA,NA,8,4,NA,NA,NA,10,NA,NA,10,NA,8,NA,10,NA,NA,NA,4,5,NA,NA,NA,8,NA,7,NA,NA,2,NA,4,1,NA,NA,NA
3,Israel,8,NA,NA,6,1,NA,NA,1,5,NA,NA,3,NA,NA,NA,NA,4,NA,2,NA,NA,NA,2,4,6,NA,NA,5,3,8,NA,NA,3,NA,NA,NA,NA,8,5,7,5,NA,NA,NA
4,Italy,7,12,3,8,7,NA,NA,8,NA,10,6,5,NA,3,NA,10,NA,7,1,3,5,3,NA,6,10,5,10,10,12,12,3,7,NA,NA,10,1,NA,NA,6,NA,NA,NA,NA,3
5,Norway,6,NA,NA,4,3,1,1,NA,NA,5,5,7,NA,NA,NA,NA,3,NA,NA,8,2,10,NA,8,NA,NA,1,8,8,2,NA,12,NA,4,2,7,NA,NA,2,NA,8,NA,NA,6
6,Ukraine,5,6,NA,NA,NA,12,NA,6,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,NA,NA,NA,NA,6,7,NA,NA,NA,NA,4,NA,4,NA,NA,NA
7,Belgium,4,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,7,8,NA,NA,NA,NA,4,NA,5,NA,3,12,12,NA,1,NA,10,NA,NA,NA,NA,6,7,3,NA,NA,7,NA,NA,NA
8,Estonia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,6,NA,NA
9,Australia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6,NA,2,NA,NA,NA,1,NA,NA,12,NA,4,7,4
10,Czechia,1,NA,4,NA,NA,NA,NA,NA,NA,7,8,NA,5,NA,NA,2,5,12,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,4,NA
11,Lithuania,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
12,Cyprus,NA,10,6,12,10,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,5,NA,NA,5,NA,10,7,10,3,NA,12,NA,NA,NA,NA,2,NA,NA
13,Croatia,NA,NA,NA,NA,NA,NA,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
14,Armenia,NA,NA,NA,NA,4,10,5,NA,NA,2,1,6,NA,NA,5,3,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,7,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
15,Austria,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,10,NA,NA,8,NA,NA,4,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,6,NA,6,7,NA,8,3,NA,6,12
16,France,NA,7,NA,NA,6,NA,6,10,4,6,12,10,12,8,NA,12,6,NA,10,7,7,5,NA,5,NA,2,8,7,6,NA,2,4,NA,8,NA,10,10,NA,12,2,12,12,2,7
